Threshold,TP,FP,TN,FN,Recall,Precision,F1-Score,Sn,FPR,Acc
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:31<00:00,  6.39it/s]",2077,35058,114068,2,0.9990379990379991,0.05593106234011041,0.10593155505686744,0.7649102101578531,0.2350897898421469,0.7681293608015608
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:31<00:00,  6.39it/s]",2077,35053,114073,2,0.9990379990379991,0.05593859412873687,0.10594506363334949,0.7649437388517093,0.2350562611482907,0.7681624284911214
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:31<00:00,  6.39it/s]",2077,35052,114074,2,0.9990379990379991,0.05594010072988769,0.10594776576208938,0.7649504445904806,0.23504955540951944,0.7681690420290335
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:31<00:00,  6.39it/s]",2077,35052,114074,2,0.9990379990379991,0.05594010072988769,0.10594776576208938,0.7649504445904806,0.23504955540951944,0.7681690420290335
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:31<00:00,  6.39it/s]",2077,35052,114074,2,0.9990379990379991,0.05594010072988769,0.10594776576208938,0.7649504445904806,0.23504955540951944,0.7681690420290335
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:31<00:00,  6.39it/s]",2077,35052,114074,2,0.9990379990379991,0.05594010072988769,0.10594776576208938,0.7649504445904806,0.23504955540951944,0.7681690420290335
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:31<00:00,  6.39it/s]",2077,35052,114074,2,0.9990379990379991,0.05594010072988769,0.10594776576208938,0.7649504445904806,0.23504955540951944,0.7681690420290335
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:31<00:00,  6.39it/s]",2077,35052,114074,2,0.9990379990379991,0.05594010072988769,0.10594776576208938,0.7649504445904806,0.23504955540951944,0.7681690420290335
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:31<00:00,  6.39it/s]",2077,35052,114074,2,0.9990379990379991,0.05594010072988769,0.10594776576208938,0.7649504445904806,0.23504955540951944,0.7681690420290335
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:31<00:00,  6.39it/s]",2077,35051,114075,2,0.9990379990379991,0.05594160741219565,0.10595046802866837,0.7649571503292518,0.23504284967074818,0.7681756555669456
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:31<00:00,  6.39it/s]",2077,35051,114075,2,0.9990379990379991,0.05594160741219565,0.10595046802866837,0.7649571503292518,0.23504284967074818,0.7681756555669456
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:31<00:00,  6.39it/s]",2077,35049,114077,2,0.9990379990379991,0.05594462102030922,0.10595587297538579,0.7649705618067942,0.23502943819320576,0.7681888826427697
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:31<00:00,  6.39it/s]",2077,35049,114077,2,0.9990379990379991,0.05594462102030922,0.10595587297538579,0.7649705618067942,0.23502943819320576,0.7681888826427697
