Threshold,TP,FP,TN,FN,Recall,Precision,F1-Score,Sn,FPR,Acc
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:33<00:00,  6.04it/s]",2079,135017,14189,0,1.0,0.01516455622337632,0.029876055326028376,0.09509671192847473,0.9049032880715253,0.10753214132266914
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:33<00:00,  6.04it/s]",2079,134486,14720,0,1.0,0.01522351993556182,0.029990479212948267,0.09865555004490437,0.9013444499550957,0.11104207290874839
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:33<00:00,  6.04it/s]",2079,133800,15406,0,1.0,0.015300377541783499,0.03013960770669334,0.10325322037987748,0.8967467796201225,0.1155765607958489
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:33<00:00,  6.04it/s]",2079,133249,15957,0,1.0,0.01536267439110901,0.030260467079551986,0.10694610136321596,0.8930538986367841,0.11921869319496314
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:33<00:00,  6.04it/s]",2079,132846,16360,0,1.0,0.015408560311284047,0.030349478847332922,0.10964706513142904,0.8903529348685709,0.1218825395776184
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:33<00:00,  6.04it/s]",2079,132202,17004,0,1.0,0.015482458426732001,0.03049281314168378,0.11396324544589359,0.8860367545541064,0.12613940575734542
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:33<00:00,  6.04it/s]",2079,131580,17626,0,1.0,0.015554508113931722,0.030632542103169343,0.11813197860675845,0.8818680213932415,0.1302508510427339
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:33<00:00,  6.04it/s]",2079,130966,18240,0,1.0,0.0156262918561389,0.0307717355910127,0.12224709462085975,0.8777529053791402,0.1343094160029084
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:33<00:00,  6.04it/s]",2079,130320,18886,0,1.0,0.01570253551763986,0.03091955561504484,0.1265766792220152,0.8734233207779848,0.13857950226393892
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:33<00:00,  6.04it/s]",2079,129655,19551,0,1.0,0.015781802723670427,0.031073214112231247,0.13103360454673404,0.8689663954532659,0.14297517929735268
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:33<00:00,  6.04it/s]",2079,128646,20560,0,1.0,0.015903614457831325,0.031309297912713474,0.1377960671822849,0.8622039328177151,0.14964471031496843
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:33<00:00,  6.04it/s]",2079,127789,21417,0,1.0,0.016008562540425663,0.031512652807566675,0.1435398040293286,0.8564601959706715,0.1553095151535182
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:33<00:00,  6.04it/s]",2079,126906,22300,0,1.0,0.01611815327363647,0.03172495879875481,0.14945779660335376,0.8505422033966462,0.16114618104901346
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:33<00:00,  6.04it/s]",2079,125849,23357,0,1.0,0.016251328872490776,0.03198289322882614,0.15654196211948582,0.8434580378805142,0.1681329940179132
