Threshold,TP,FP,TN,FN,Recall,Precision,F1-Score,Sn,FPR,Acc
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:31<00:00,  6.33it/s]",2079,131068,17876,0,1.0,0.015614321013616528,0.030748524691997098,0.12001826189708883,0.8799817381029111,0.1321321917853572
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:31<00:00,  6.33it/s]",2079,130331,18613,0,1.0,0.015701231024847065,0.03091702667132628,0.12496643033623375,0.8750335696637662,0.13701224316825913
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:31<00:00,  6.33it/s]",2078,129598,19346,1,0.9995189995189995,0.015781159816519334,0.031071735636050986,0.12988774304436568,0.8701122569556343,0.14185918701124994
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:31<00:00,  6.33it/s]",2078,128838,20106,1,0.9995189995189995,0.01587277338140487,0.031249295086281437,0.13499033193683532,0.8650096680631647,0.14689153307774314
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:31<00:00,  6.33it/s]",2078,128029,20915,1,0.9995189995189995,0.01597146963652993,0.03144054589744753,0.1404219035342142,0.8595780964657858,0.15224833303536547
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:31<00:00,  6.33it/s]",2078,127185,21759,1,0.9995189995189995,0.016075752535528343,0.031642581961596444,0.1460884627779568,0.8539115372220432,0.1578368857723658
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:31<00:00,  6.33it/s]",2078,126352,22592,1,0.9995189995189995,0.016180020244491163,0.03184454711935576,0.1516811687614137,0.8483188312385863,0.16335260192156162
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:31<00:00,  6.33it/s]",2078,125505,23439,1,0.9995189995189995,0.016287436413942296,0.03205256744458669,0.15736786980341605,0.842632130196584,0.16896101918250864
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:31<00:00,  6.33it/s]",2078,124632,24312,1,0.9995189995189995,0.01639965275037487,0.03226983670965688,0.1632291330970029,0.8367708669029971,0.17474159565099356
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:31<00:00,  6.33it/s]",2078,123716,25228,1,0.9995189995189995,0.016519070861885303,0.03250099708304333,0.16937909549897948,0.8306209045010206,0.1808068969627143
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:31<00:00,  6.33it/s]",2078,122805,26139,1,0.9995189995189995,0.016639574641864784,0.03273420393503568,0.17549548823718983,0.8245045117628101,0.18683909073452387
"LOADING: 100%|███████████████████████████████████████████████████████████████████████| 200/200 [00:31<00:00,  6.33it/s]",2078,121904,27040,1,0.9995189995189995,0.016760497491571356,0.03296816620524984,0.18154474164786766,0.8184552583521323,0.19280506942651118
