
Precision :0.7227342549923195, Recall:0.45262145262145265,f1_score:0.5566400473232771,Acc:0.9900888630292772 

Precision :0.29670138888888886, Recall:0.822029822029822,f1_score:0.43602500318918225,Acc:0.97076908836053 

Precision :0.6397727272727273, Recall:0.5416065416065416,f1_score:0.58661109663975,Acc:0.9895070217661527 

Precision :0.75, Recall:0.08513708513708514,f1_score:0.15291576673866092,Acc:0.9870341963978736 

Precision :0.1619549987637023, Recall:0.9451659451659452,f1_score:0.2765268786940614,Acc:0.932017137869932 

Precision :0.2743239042586261, Recall:0.8489658489658489,f1_score:0.4146599318689064,Acc:0.9670532384755759 

Precision :0.5739889705882353, Recall:0.6007696007696007,f1_score:0.5870740305522915,Acc:0.9883830102351168 

Precision :0.5465489566613162, Recall:0.32756132756132755,f1_score:0.4096240601503759,Acc:0.9870209727328026 

Precision :0.4266383656142213, Recall:0.7734487734487735,f1_score:0.5499316005471957,Acc:0.9825976567665494 

Precision :0.4266383656142213, Recall:0.7734487734487735,f1_score:0.5499316005471957,Acc:0.9825976567665494 

Precision :0.12873372478937964, Recall:0.9701779701779701,f1_score:0.22730602355327661,Acc:0.9093319404406125 

Precision :0.2121012101210121, Recall:0.9273689273689274,f1_score:0.34524129286417765,Acc:0.951647668667848 

Precision :0.5465489566613162, Recall:0.32756132756132755,f1_score:0.4096240601503759,Acc:0.9870209727328026 
