Threshold,TP,FP,TN,FN,Recall,Precision,F1-Score,Sn,FPR,Acc
0.0,2079,149165,0,0,1.0,0.013745999841316019,0.02711921890388265,0.0,1.0,0.013745999841316019
0.05,2002,13854,135311,77,0.9629629629629629,0.12626135216952572,0.223250627265124,0.9071229846143533,0.09287701538564674,0.9078905609478723
0.1,1471,1850,147315,608,0.7075517075517076,0.44293887383318276,0.5448148148148148,0.9875976267891261,0.012402373210873896,0.9837481156277273
0.15000000000000002,1233,956,148209,846,0.5930735930735931,0.563270899954317,0.577788191190253,0.993590989843462,0.006409010156538053,0.988085477771019
0.2,1126,634,148531,953,0.5416065416065416,0.6397727272727273,0.58661109663975,0.995749673180706,0.004250326819294048,0.9895070217661527
0.25,1032,480,148685,1047,0.4963924963924964,0.6825396825396826,0.5747702589807853,0.9967820869506921,0.0032179130493078523,0.989903731718283
0.30000000000000004,982,418,148747,1097,0.47234247234247234,0.7014285714285714,0.5645300373670594,0.9971977340528945,0.002802265947105531,0.9899830737087091
0.35000000000000003,944,366,148799,1135,0.45406445406445406,0.7206106870229008,0.5570964886397167,0.9975463412999028,0.002453658700097172,0.9900756393642062
0.4,917,331,148834,1162,0.44107744107744107,0.7347756410256411,0.5512473700030057,0.9977809807930815,0.002219019206918471,0.9901285340244902
0.45,864,287,148878,1215,0.4155844155844156,0.7506516072980017,0.534984520123839,0.9980759561559347,0.001924043844065304,0.9900690275316707
0.5,783,228,148937,1296,0.37662337662337664,0.7744807121661721,0.5067961165048545,0.9984714913015788,0.0015285086984212493,0.9899235672158896
0.55,667,201,148964,1412,0.32082732082732085,0.7684331797235023,0.45266372582287073,0.9986524989106024,0.0013475010893976291,0.9893351141202296
0.6000000000000001,575,179,148986,1504,0.2765752765752766,0.7625994694960212,0.4059301094246382,0.998799986592029,0.0012000134079710456,0.9888722858427442
0.65,456,158,149007,1623,0.21933621933621933,0.742671009771987,0.33865577422948384,0.9989407702879362,0.0010592297120638472,0.9882243262542646
0.7000000000000001,392,138,149027,1687,0.18855218855218855,0.7396226415094339,0.3004982752012265,0.999074849998324,0.0009251500016760339,0.9879334056227024
0.75,340,112,149053,1739,0.16354016354016354,0.7522123893805309,0.2686685104701699,0.9992491536218282,0.0007508463781717989,0.9877614979767793
0.8,290,91,149074,1789,0.1394901394901395,0.7611548556430446,0.23577235772357727,0.9993899373177354,0.0006100626822646005,0.9875697548332496
0.8500000000000001,236,77,149088,1843,0.11351611351611351,0.7539936102236422,0.19732441471571904,0.9994837931150069,0.0005162068849930979,0.9873052815318294
0.9,177,59,149106,1902,0.08513708513708514,0.75,0.15291576673866092,0.999604464854356,0.0003955351456440548,0.9870341963978736
0.9500000000000001,120,43,149122,1959,0.05772005772005772,0.7361963190184049,0.10704727921498661,0.9997117286226662,0.00028827137733378194,0.9867631112639179
1.0,0,0,149165,2079,0.0,,,1.0,0.0,0.986254000158684
1.05,0,0,149165,2079,0.0,,,1.0,0.0,0.986254000158684
