Threshold,TP,FP,TN,FN,Recall,Precision,F1-Score,Sn,FPR,Acc
0.0,2079,149165,0,0,1.0,0.013745999841316019,0.02711921890388265,0.0,1.0,0.013745999841316019
0.05,2029,16651,132514,50,0.9759499759499759,0.10861884368308351,0.19548147791319428,0.8883719371166158,0.11162806288338423,0.8895757848245219
0.1,1901,7213,141952,178,0.9143819143819144,0.2085802062760588,0.3396765835790226,0.9516441524486308,0.048355847551369235,0.9511319457300785
0.15000000000000002,1820,5415,143750,259,0.8754208754208754,0.2515549412577747,0.3908095340347864,0.9636979184124962,0.03630208158750381,0.9624844621935416
0.2,1765,4669,144496,314,0.8489658489658489,0.2743239042586261,0.4146599318689064,0.9686990916099621,0.03130090839003785,0.9670532384755759
0.25,1713,4110,145055,366,0.823953823953824,0.29417825862957236,0.4335611237661352,0.9724466195153019,0.02755338048469813,0.9704054375710772
0.30000000000000004,1681,3599,145566,398,0.8085618085618086,0.3183712121212121,0.4568555510259546,0.9758723561157108,0.02412764388428923,0.9735725053555844
0.35000000000000003,1649,3115,146050,430,0.7931697931697932,0.3461376994122586,0.48195236007599007,0.9791170851070962,0.020882914892903837,0.9765610536616328
0.4,1610,2748,146417,469,0.7744107744107744,0.3694355208811381,0.5002330278079851,0.9815774477927127,0.01842255220728728,0.9787297347332786
0.45,1582,2479,146686,497,0.7609427609427609,0.38955922186653535,0.5153094462540716,0.983380819897429,0.01661918010257102,0.9803231863743355
0.5,1553,2259,146906,526,0.746993746993747,0.4073976915005247,0.5272449499236123,0.9848556967116951,0.01514430328830485,0.981586046388617
0.55,1522,2028,147137,557,0.7320827320827321,0.4287323943661972,0.5407710072837094,0.9864043173666744,0.013595682633325556,0.9829084128957182
0.6000000000000001,1493,1850,147315,586,0.7181337181337182,0.4466048459467544,0.5507192917742532,0.9875976267891261,0.012402373210873896,0.9838935759435085
0.65,1467,1705,147460,612,0.7056277056277056,0.462484237074401,0.5587507141496857,0.9885697046894378,0.011430295310562166,0.9846803840152336
0.7000000000000001,1412,1547,147618,667,0.6791726791726792,0.4771882392700237,0.5605398967844384,0.9896289344015017,0.010371065598498319,0.9853614027663907
0.75,1382,1392,147773,697,0.6647426647426647,0.498197548666186,0.5695446115804657,0.9906680521570074,0.009331947842992627,0.986187881833329
0.8,1352,1249,147916,727,0.6503126503126503,0.5198000768935025,0.5777777777777778,0.9916267220862803,0.008373277913719668,0.986935018909841
0.8500000000000001,1297,1115,148050,782,0.6238576238576239,0.5377280265339967,0.5775996437319082,0.9925250561458787,0.007474943854121285,0.987457353680146
0.9,1249,927,148238,830,0.6007696007696007,0.5739889705882353,0.5870740305522915,0.9937854054235243,0.006214594576475663,0.9883830102351168
0.9500000000000001,1172,735,148430,907,0.5637325637325638,0.6145778710015731,0.5880582037129954,0.9950725706432474,0.004927429356752611,0.9891433709766999
1.0,0,0,149165,2079,0.0,,,1.0,0.0,0.986254000158684
