Threshold,Locus,Predict Sites,Positive Sites,Negative Sites,Actual Donor Sites,Predict Num,Predict Positive Num,Predict Negative Num,TP,FP,TN,FN
3.0,ACU08131,"[70, 158, 322, 387, 463, 642, 710, 845, 1024, 1230, 1255, 1363, 1603, 1735, 2025, 2029, 2079, 2104, 2179, 2212, 2245, 2350, 2498, 2598, 2637, 2803, 2840, 3042, 3336, 3798, 3914, 4038, 4306, 4452, 4504, 4512, 5170, 5176, 5313, 5324]","[642, 1363, 2029, 2803, 3798]","[70, 158, 322, 387, 463, 710, 845, 1024, 1230, 1255, 1603, 1735, 2025, 2079, 2104, 2179, 2212, 2245, 2350, 2498, 2598, 2637, 2840, 3042, 3336, 3914, 4038, 4306, 4452, 4504, 4512, 5170, 5176, 5313, 5324]","[642, 1363, 2029, 2803, 3798]",5384,40,5344,5,35,5344,0
3.0,AGGGLINE,"[32, 70, 80, 805, 869, 935, 1082, 1466, 1571, 2325, 2347, 2658, 2685, 2697, 2946, 2963, 3120, 3158, 3168, 3390, 3457, 3504, 3600, 3673, 3850, 4035, 4094, 4253, 4309, 4313, 4411, 4456, 4685, 4720, 4756, 4849, 5228, 5259, 5307, 5585, 5648, 5864, 6262, 6277, 6387, 6421, 6780, 7054, 7300]","[3158, 3504]","[32, 70, 80, 805, 869, 935, 1082, 1466, 1571, 2325, 2347, 2658, 2685, 2697, 2946, 2963, 3120, 3168, 3390, 3457, 3600, 3673, 3850, 4035, 4094, 4253, 4309, 4313, 4411, 4456, 4685, 4720, 4756, 4849, 5228, 5259, 5307, 5585, 5648, 5864, 6262, 6277, 6387, 6421, 6780, 7054, 7300]","[3158, 3504]",7220,49,7171,2,47,7171,0
3.0,AGU04852,"[86, 174, 183, 491, 536, 631, 653, 734, 1104, 1464, 2073, 2117, 2302, 2478, 2972, 3116, 3176, 3211, 3402, 3404, 3693, 3701, 3788, 3877, 3956, 4566, 4701, 4780, 4788, 4800, 4809, 4863, 4906, 5252, 5517, 5529, 5533, 5876, 5912, 6203, 6224, 6383, 6740, 6883, 7128, 7509, 7636, 7669, 7927, 7960, 8026, 8085, 8252, 8301, 8349, 8354, 8358, 8635, 8694, 8817, 8877, 8934, 8961, 9261, 9622, 9856, 10753, 10812, 10820, 10961]","[3956, 5517, 5912, 6740]","[86, 174, 183, 491, 536, 631, 653, 734, 1104, 1464, 2073, 2117, 2302, 2478, 2972, 3116, 3176, 3211, 3402, 3404, 3693, 3701, 3788, 3877, 4566, 4701, 4780, 4788, 4800, 4809, 4863, 4906, 5252, 5529, 5533, 5876, 6203, 6224, 6383, 6883, 7128, 7509, 7636, 7669, 7927, 7960, 8026, 8085, 8252, 8301, 8349, 8354, 8358, 8635, 8694, 8817, 8877, 8934, 8961, 9261, 9622, 9856, 10753, 10812, 10820, 10961]","[3956, 5517, 5912, 6740]",10976,70,10906,4,66,10906,0
3.0,ALOEGLOBIM,"[221, 237, 271, 469, 583, 599, 1043, 1049, 1154, 1170, 1182, 1200, 1250, 1297, 1399, 1410, 1455]","[237, 583]","[221, 271, 469, 599, 1043, 1049, 1154, 1170, 1182, 1200, 1250, 1297, 1399, 1410, 1455]","[237, 583]",1683,17,1666,2,15,1666,0
3.0,ALOEGLOBIN,"[221, 237, 271, 469, 583, 599, 1043, 1049, 1154, 1170, 1182, 1200, 1250, 1297, 1399, 1410, 1455]","[237, 583]","[221, 271, 469, 599, 1043, 1049, 1154, 1170, 1182, 1200, 1250, 1297, 1399, 1410, 1455]","[237, 583]",1683,17,1666,2,15,1666,0
3.0,ALOPROTP1A,"[59, 166, 186, 267]",[166],"[59, 186, 267]",[166],410,4,406,1,3,406,0
3.0,AMU12024,"[85, 257, 534, 632, 667, 872, 1583, 1594, 1695, 1864, 1960, 2013, 2126, 2482, 2605, 2685, 2801, 3332, 3458, 3606]","[257, 667, 1864, 2126, 2482]","[85, 534, 632, 872, 1583, 1594, 1695, 1960, 2013, 2605, 2685, 2801, 3332, 3458, 3606]","[257, 667, 1864, 2126, 2482]",3644,20,3624,5,15,3624,0
3.0,AMU12025,"[205, 271, 301, 321, 527, 859, 1049, 1080, 1143, 1412, 1640, 1697, 1830, 2010, 2250, 2485, 2654, 2689, 2705, 2736, 2789, 2902, 3278, 3313, 3343, 3649, 4481, 4541]","[1412, 1830, 2654, 2902, 3278]","[205, 271, 301, 321, 527, 859, 1049, 1080, 1143, 1640, 1697, 2010, 2250, 2485, 2689, 2705, 2736, 2789, 3313, 3343, 3649, 4481, 4541]","[1412, 1830, 2654, 2902, 3278]",5375,28,5347,5,23,5347,0
3.0,AOIRHODOPS,"[141, 255, 620, 894, 1115, 1314, 1702, 1749, 1925, 1953, 1969, 2025, 2754, 2812, 2949, 3012, 4005, 4067, 4336, 4385, 4391, 4430, 4479, 4840, 4953, 5014, 5116, 5373, 5452, 6243, 6372, 6400, 7039, 7056, 7580, 7600, 7614, 7622, 7630, 7800, 8003, 8197, 8308, 8614, 8837, 9057, 9133, 9304, 9410]","[1702, 4067, 5373, 6243]","[141, 255, 620, 894, 1115, 1314, 1749, 1925, 1953, 1969, 2025, 2754, 2812, 2949, 3012, 4005, 4336, 4385, 4391, 4430, 4479, 4840, 4953, 5014, 5116, 5452, 6372, 6400, 7039, 7056, 7580, 7600, 7614, 7622, 7630, 7800, 8003, 8197, 8308, 8614, 8837, 9057, 9133, 9304, 9410]","[1702, 4067, 5373, 6243]",9915,49,9866,4,45,9866,0
3.0,ASPROP2,"[75, 120, 589]",[],"[75, 120, 589]",[325],664,3,661,0,3,660,1
3.0,ASYRVISP,"[99, 260, 625, 634, 656, 909, 1042, 1166, 1305, 1335, 1419, 1585, 1916, 2021]","[625, 1042, 1335, 1585, 1916]","[99, 260, 634, 656, 909, 1166, 1305, 1419, 2021]","[625, 1042, 1335, 1585, 1916]",2221,14,2207,5,9,2207,0
3.0,ATREGLOBIN,"[221, 237, 271, 474, 588, 604, 1058, 1187, 1217, 1267, 1295, 1314, 1407, 1418, 1463]","[237, 588]","[221, 271, 474, 604, 1058, 1187, 1217, 1267, 1295, 1314, 1407, 1418, 1463]","[237, 588]",1691,15,1676,2,13,1676,0
3.0,BABAPOE,"[33, 60, 198, 267, 481, 486, 550, 897, 1080, 1374, 1702, 1953, 1985, 2109, 2262, 2668, 2803, 2847, 2881, 3648, 3852, 3916, 3978, 3990, 3999, 4131]","[897, 2847]","[33, 60, 198, 267, 481, 486, 550, 1080, 1374, 1702, 1953, 1985, 2109, 2262, 2668, 2803, 2881, 3648, 3852, 3916, 3978, 3990, 3999, 4131]","[897, 2847]",4754,26,4728,2,24,4728,0
3.0,BATROX,"[222, 237, 341, 769, 875, 1839, 1944, 2032, 2078, 2428, 2446, 2890, 2948, 2959, 3011, 3183, 3556, 3593, 3849, 3878, 3924, 3967, 3975, 3979, 4110, 4276, 4495, 4705, 4836, 5035, 5085, 5123, 5204, 5705, 5790, 6329, 6449, 6789, 6874, 6955, 7120, 7378, 7567, 7655, 7992]","[341, 3011, 5035, 6955]","[222, 237, 769, 875, 1839, 1944, 2032, 2078, 2428, 2446, 2890, 2948, 2959, 3183, 3556, 3593, 3849, 3878, 3924, 3967, 3975, 3979, 4110, 4276, 4495, 4705, 4836, 5085, 5123, 5204, 5705, 5790, 6329, 6449, 6789, 6874, 7120, 7378, 7567, 7655, 7992]","[341, 3011, 5035, 6955]",8092,45,8047,4,41,8047,0
3.0,BCHEGLOBIN,"[221, 237, 271, 469, 583, 599, 1054, 1060, 1166, 1184, 1196, 1214, 1264, 1311, 1412, 1423, 1468]","[237, 583]","[221, 271, 469, 599, 1054, 1060, 1166, 1184, 1196, 1214, 1264, 1311, 1412, 1423, 1468]","[237, 583]",1697,17,1680,2,15,1680,0
3.0,BOVANPA,"[334, 393, 433, 858, 1299, 1687]","[433, 858]","[334, 393, 1299, 1687]","[433, 858]",1761,6,1755,2,4,1755,0
3.0,BOVCOX7AL,"[16, 322, 679, 936, 1056, 1484, 1497, 1501, 1540, 1826, 2141, 2351, 2432, 2470, 2630, 2812, 2867, 2874, 3003, 3047, 3328, 3627, 3721, 3969, 4284, 4555, 4995, 5049, 5488, 5521, 5699, 5934, 6089, 6167, 6648]","[1540, 2812, 5049]","[16, 322, 679, 936, 1056, 1484, 1497, 1501, 1826, 2141, 2351, 2432, 2470, 2630, 2867, 2874, 3003, 3047, 3328, 3627, 3721, 3969, 4284, 4555, 4995, 5488, 5521, 5699, 5934, 6089, 6167, 6648]","[1540, 2812, 5049]",6848,35,6813,3,32,6813,0
3.0,BOVGAS,"[192, 406, 751, 806, 996]",[751],"[192, 406, 806, 996]",[751],1058,5,1053,1,4,1053,0
3.0,BOVIAP,"[174, 320, 437, 457, 533, 602, 926, 1080, 1116, 1318, 1568, 1764, 1835, 1895, 1994, 2033, 2057, 2107, 2159, 2200, 2269, 2354, 2504, 2670, 2725, 2749, 2756, 2784, 2793, 2804, 2864, 2999, 3092, 3157, 3352, 3392, 3420, 3440, 3535, 3667, 3782, 3844, 3996, 4009, 4024, 4731, 5074, 5241, 5262, 5290]","[1568, 1764, 1994, 2354, 2999, 3157, 3392, 3667, 3996]","[174, 320, 437, 457, 533, 602, 926, 1080, 1116, 1318, 1835, 1895, 2033, 2057, 2107, 2159, 2200, 2269, 2504, 2670, 2725, 2749, 2756, 2784, 2793, 2804, 2864, 3092, 3352, 3420, 3440, 3535, 3782, 3844, 4009, 4024, 4731, 5074, 5241, 5262, 5290]","[1568, 1764, 1994, 2354, 2606, 2999, 3157, 3392, 3667, 3996]",5391,50,5341,9,41,5340,1
