Threshold,Locus,Predict Sites,Positive Sites,Negative Sites,Actual Donor Sites,Predict Num,Predict Positive Num,Predict Negative Num,TP,FP,TN,FN
7.0,ACU08131,[],[],[],"[642, 1363, 2029, 2803, 3798]",5384,0,5384,0,0,5379,5
7.0,AGGGLINE,[6387],[],[6387],"[3158, 3504]",7220,1,7219,0,1,7217,2
7.0,AGU04852,[8817],[],[8817],"[3956, 5517, 5912, 6740]",10976,1,10975,0,1,10971,4
7.0,ALOEGLOBIM,[237],[237],[],"[237, 583]",1683,1,1682,1,0,1681,1
7.0,ALOEGLOBIN,[237],[237],[],"[237, 583]",1683,1,1682,1,0,1681,1
7.0,ALOPROTP1A,[],[],[],[166],410,0,410,0,0,409,1
7.0,AMU12024,"[257, 2482]","[257, 2482]",[],"[257, 667, 1864, 2126, 2482]",3644,2,3642,2,0,3639,3
7.0,AMU12025,"[1412, 2654, 3278]","[1412, 2654, 3278]",[],"[1412, 1830, 2654, 2902, 3278]",5375,3,5372,3,0,5370,2
7.0,AOIRHODOPS,"[4067, 5373]","[4067, 5373]",[],"[1702, 4067, 5373, 6243]",9915,2,9913,2,0,9911,2
7.0,ASPROP2,[],[],[],[325],664,0,664,0,0,663,1
7.0,ASYRVISP,[625],[625],[],"[625, 1042, 1335, 1585, 1916]",2221,1,2220,1,0,2216,4
7.0,ATREGLOBIN,[237],[237],[],"[237, 588]",1691,1,1690,1,0,1689,1
7.0,BABAPOE,[],[],[],"[897, 2847]",4754,0,4754,0,0,4752,2
7.0,BATROX,"[3011, 3975]",[3011],[3975],"[341, 3011, 5035, 6955]",8092,2,8090,1,1,8087,3
7.0,BCHEGLOBIN,[237],[237],[],"[237, 583]",1697,1,1696,1,0,1695,1
7.0,BOVANPA,[],[],[],"[433, 858]",1761,0,1761,0,0,1759,2
7.0,BOVCOX7AL,[],[],[],"[1540, 2812, 5049]",6848,0,6848,0,0,6845,3
7.0,BOVGAS,[],[],[],[751],1058,0,1058,0,0,1057,1
7.0,BOVIAP,"[1318, 1764, 1994, 3996]","[1764, 1994, 3996]",[1318],"[1568, 1764, 1994, 2354, 2606, 2999, 3157, 3392, 3667, 3996]",5391,4,5387,3,1,5380,7
7.0,BOVIRBP,"[3174, 9959, 11020]",[3174],"[9959, 11020]","[3174, 5595, 7699]",11785,3,11782,1,2,11780,2
7.0,BOVLHB,[803],[803],[],"[803, 1272]",1856,1,1855,1,0,1854,1
7.0,BOVLYSOZMA,[],[],[],"[3039, 5771, 8654]",12214,0,12214,0,0,12211,3
7.0,BOVLYSOZMB,"[1662, 5148, 7058]",[],"[1662, 5148, 7058]","[2673, 4005, 6212]",10204,3,10201,0,3,10198,3
7.0,BOVLYSOZMC,[],[],[],"[905, 2323, 4194]",8043,0,8043,0,0,8040,3
7.0,BOVMYF5A,[273],[],[273],"[698, 1625]",5211,1,5210,0,1,5208,2
7.0,BRHOX22,[1431],[1431],[],[1431],3434,1,3433,1,0,3433,0
7.0,BRHOX34A,[],[],[],[981],3490,0,3490,0,0,3489,1
7.0,BRU12895,"[1135, 1986]",[1135],[1986],[1135],3232,2,3230,1,1,3230,0
7.0,BTATPAAA,[2314],[2314],[],"[740, 2314, 3707, 5729, 5984, 6337, 6827, 7151, 7770, 8023, 9129]",9907,1,9906,1,0,9896,10
