,p(A),p(C),p(G),p(T)
-3,0.2686002522068096,0.20470786044556535,0.24169819251786465,0.2849936948297604
-2,0.2698612862547289,0.22698612862547288,0.26019335855401426,0.24295922656578395
-1,0.29970575872215216,0.07145859604875998,0.2530474989491383,0.37578814627994955
0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0
2,0.18915510718789408,0.21689785624211855,0.3350147120638924,0.258932324506095
3,0.2543085329970576,0.22530474989491384,0.2316099201345103,0.28877679697351827
4,0.24548129466162252,0.2408575031525851,0.22824716267339218,0.2854140395124002
5,0.2551492223623371,0.2290878520386717,0.23203026481715006,0.2837326607818411
6,0.25809163514081546,0.21647751155947878,0.27490542244640603,0.2505254308532997
7,0.26271542664985287,0.22278268179907523,0.23665405632618747,0.27784783522488443
8,0.25220680958385877,0.21647751155947878,0.25388818831441784,0.27742749054224464
