,p(A),p(C),p(G),p(T)
-39,0.20369592608147838,0.2612347753044939,0.2734145317093658,0.2612347753044939
-38,0.20999580008399832,0.27173456530869383,0.2616547669046619,0.25661486770264597
-37,0.20747585048299033,0.27635447291054177,0.25535489290214197,0.2608147837043259
-36,0.1994960100797984,0.2721545569088618,0.2620747585048299,0.2662746745065099
-35,0.21713565728685427,0.2629147417051659,0.2574548509029819,0.2624947501049979
-34,0.23225535489290214,0.2902141957160857,0.23183536329273416,0.24527509449811002
-33,0.20285594288114236,0.28391432171356573,0.23855522889542208,0.2746745065098698
-32,0.19613607727845442,0.2889542209155817,0.23477530449391013,0.28013439731205375
-31,0.19025619487610249,0.2965140697186056,0.22847543049139019,0.28475430491390175
-30,0.2246955060898782,0.29315413691726167,0.2125157496850063,0.26921461570768584
-29,0.22175556488870224,0.29231415371692565,0.21923561528769425,0.26669466610667786
-28,0.21671566568668627,0.31289374212515747,0.19571608567828644,0.2746745065098698
-27,0.22385552288954222,0.3095338093238135,0.17975640487190256,0.2868542629147417
-26,0.21797564048719026,0.3061738765224695,0.17933641327173455,0.2965140697186056
-25,0.21755564888702225,0.31163376732465353,0.19487610247795045,0.2759344813103738
-24,0.22259554808903823,0.30323393532129356,0.15539689206215876,0.31877362452750946
-23,0.19613607727845442,0.3149937001259975,0.16967660646787064,0.31919361612767744
-22,0.21965560688786223,0.2973540529189416,0.16967660646787064,0.3133137337253255
-21,0.20537589248215035,0.3196136077278454,0.16505669886602267,0.3099538009239815
-20,0.19151616967660648,0.33263334733305333,0.15749685006299874,0.3183536329273415
-19,0.17975640487190256,0.3221335573288534,0.15539689206215876,0.3427131457370853
-18,0.15875682486350273,0.32969340613187736,0.1621167576648467,0.3494330113397732
-17,0.14405711885762285,0.3393532129357413,0.15287694246115077,0.3637127257454851
-16,0.12809743805123897,0.32633347333053336,0.16841663166736665,0.37715245695086097
-15,0.13019739605207895,0.3502729945401092,0.1390172196556069,0.38051238975220497
-14,0.11003779924401512,0.35405291894162116,0.11843763124737505,0.41747165056698865
-13,0.08819823603527929,0.36875262494750105,0.12851742965140697,0.4145317093658127
-12,0.09113817723645527,0.3460730785384292,0.11717765644687106,0.44561108777824443
-11,0.07601847963040739,0.3599328013439731,0.11129777404451911,0.45275094498110036
-10,0.08105837883242335,0.3292734145317094,0.11003779924401512,0.47921041579168416
-9,0.07307853842923141,0.36539269214615705,0.10583788324233516,0.4556908861822764
-8,0.07391852162956741,0.3855522889542209,0.11717765644687106,0.42335153296934064
-7,0.08945821083578329,0.40907181856362873,0.12053758924821503,0.38093238135237295
-6,0.08357832843343133,0.42209155816883664,0.0877782444351113,0.40655186896262074
-5,0.07097858042839143,0.4502309953800924,0.06509869802603947,0.41369172616547667
-4,0.07139857202855943,0.39269214615707687,0.05963880722385552,0.4762704745905082
-3,0.22007559848803024,0.34397312053758927,0.22133557328853423,0.21461570768584629
-2,0.04115917681646367,0.7391852162956741,0.0016799664006719867,0.21797564048719026
-1,1.0,0.0,0.0,0.0
0,0.0,0.0,1.0,0.0
1,0.22889542209155816,0.13523729525409492,0.5342293154136917,0.10163796724065519
2,0.2242755144897102,0.1999160016799664,0.25199496010079797,0.32381352372952543
3,0.24149517009659807,0.25367492650146994,0.24695506089878203,0.25787484250314996
4,0.2272154556908862,0.2872742545149097,0.247795044099118,0.2377152456950861
5,0.254094918101638,0.2746745065098698,0.22847543049139019,0.24275514489710207
6,0.22091558168836622,0.2881142377152457,0.2658546829063419,0.2251154976900462
7,0.252414951700966,0.2629147417051659,0.26543469130617386,0.21923561528769425
8,0.24275514489710207,0.28223435531289376,0.254094918101638,0.22091558168836622
9,0.22931541369172617,0.2708945821083578,0.250314993700126,0.24947501049979
10,0.2377152456950861,0.247795044099118,0.30533389332213356,0.20915581688366233
11,0.23351532969340613,0.23855522889542208,0.3011339773204536,0.22679546409071819
12,0.24275514489710207,0.25451490970180596,0.28391432171356573,0.21881562368752625
13,0.252414951700966,0.2637547249055019,0.2771944561108778,0.20663586728265435
14,0.25451490970180596,0.25787484250314996,0.251154976900462,0.2364552708945821
15,0.23897522049559008,0.2734145317093658,0.28349433011339775,0.20411591768164636
16,0.24275514489710207,0.2851742965140697,0.2784544309113818,0.19361612767744646
17,0.2662746745065099,0.25619487610247793,0.2624947501049979,0.2150356992860143
18,0.23603527929441412,0.250734985300294,0.3028139437211256,0.21041579168416633
19,0.25367492650146994,0.24569508609827803,0.29567408651826965,0.20495590088198237
20,0.25577488450230995,0.25367492650146994,0.2759344813103738,0.21461570768584629
