,"p(A,A)","p(A,C)","p(A,G)","p(A,T)","p(C,A)","p(C,C)","p(C,G)","p(C,T)","p(G,A)","p(G,C)","p(G,G)","p(G,T)","p(T,A)","p(T,C)","p(T,G)","p(T,T)"
-2,0.29890454,0.1627543,0.29577464,0.24256651,0.34907597,0.3059548,0.09650924,0.24845996,0.27652174,0.21043478,0.28869566,0.22434783,0.179941,0.24483776,0.320059,0.25516224
-1,0.31308413,0.056074765,0.2897196,0.3411215,0.38333333,0.075925924,0.055555556,0.48518518,0.3117932,0.08239096,0.28594506,0.31987077,0.19377163,0.07266436,0.3615917,0.37197232
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1891551,0.21689786,0.3350147,0.25893232
3,0.28444445,0.15777777,0.25333333,0.30444443,0.2868217,0.30813953,0.075581394,0.32945737,0.26348808,0.20075282,0.3124216,0.22333752,0.19318181,0.23701298,0.24188311,0.32792208
4,0.28099173,0.20826447,0.25123966,0.25950414,0.29291046,0.29104477,0.065298505,0.35074627,0.24863884,0.2413793,0.29038113,0.21960072,0.17467248,0.22998545,0.2852984,0.31004366
5,0.30821916,0.19863014,0.26198632,0.23116438,0.33856893,0.2670157,0.06980803,0.32460734,0.25046042,0.22651933,0.29834256,0.22467771,0.14285715,0.22533137,0.29013255,0.34167895
6,0.28171334,0.16144976,0.33772653,0.21911038,0.33027524,0.29174313,0.08623853,0.29174313,0.26449275,0.20289855,0.33152175,0.20108695,0.17333333,0.2162963,0.32444444,0.28592592
7,0.27850163,0.20358306,0.27687296,0.24104235,0.3553398,0.27572817,0.062135924,0.3067961,0.2614679,0.2003058,0.28440368,0.25382262,0.16778524,0.22147651,0.29362416,0.31711408
8,0.2512,0.1824,0.3424,0.224,0.32830188,0.26981133,0.0754717,0.3264151,0.27175844,0.19715808,0.30728242,0.22380106,0.17549168,0.22239032,0.2677761,0.3343419
