,p(A),p(C),p(G),p(T)
-20,0.25535489290214197,0.2734145317093658,0.252414951700966,0.21881562368752625
-19,0.2255354892902142,0.26921461570768584,0.28391432171356573,0.22133557328853423
-18,0.23393532129357414,0.2624947501049979,0.30407391852162957,0.1994960100797984
-17,0.2662746745065099,0.248635027299454,0.27887442251154976,0.20621587568248634
-16,0.23141537169256615,0.3015539689206216,0.2742545149097018,0.19277614447711044
-15,0.248635027299454,0.2906341873162537,0.25451490970180596,0.20621587568248634
-14,0.24527509449811002,0.3011339773204536,0.2356152876942461,0.21797564048719026
-13,0.21965560688786223,0.2990340193196136,0.2612347753044939,0.22007559848803024
-12,0.24821503569928602,0.2872742545149097,0.2587148257034859,0.20579588408231836
-11,0.24653506929861402,0.31289374212515747,0.2246955060898782,0.21587568248635028
-10,0.23477530449391013,0.2629147417051659,0.26669466610667786,0.2356152876942461
-9,0.2637547249055019,0.25787484250314996,0.29105417891642166,0.1873162536749265
-8,0.22007559848803024,0.2830743385132297,0.2645947081058379,0.23225535489290214
-7,0.2377152456950861,0.2759344813103738,0.2742545149097018,0.21167576648467032
-6,0.2629147417051659,0.25703485930281395,0.2633347333053339,0.21671566568668627
-5,0.2620747585048299,0.27761444771104576,0.23183536329273416,0.22847543049139019
-4,0.27005459890802186,0.30533389332213356,0.24107517849643006,0.18353632927341454
-3,0.32843343133137337,0.3637127257454851,0.18857622847543049,0.11927761444771104
-2,0.5854682906341874,0.1377572448551029,0.13355732885342292,0.14321713565728686
-1,0.09407811843763125,0.034019319613607726,0.7887442251154977,0.08315833683326333
0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,1.0
2,0.49013019739605207,0.027299454010919783,0.4582108357832843,0.024359512809743807
3,0.7135657286854263,0.07727845443091139,0.11759764804703907,0.09155816883662327
4,0.06509869802603947,0.049559008819823606,0.8383032339353212,0.047039059218815626
5,0.1511969760604788,0.1629567408651827,0.21671566568668627,0.46913061738765227
6,0.25493490130197394,0.21545569088618227,0.35531289374212516,0.1742965140697186
7,0.19193616127677446,0.2855942881142377,0.27257454850902985,0.249895002099958
8,0.19403611927761444,0.3145737085258295,0.2696346073078538,0.22133557328853423
9,0.20285594288114236,0.28139437211255774,0.29441411171776566,0.22133557328853423
10,0.20915581688366233,0.2759344813103738,0.29609407811843763,0.21881562368752625
11,0.1973960520789584,0.2742545149097018,0.2952540949181016,0.23309533809323812
12,0.18143637127257456,0.27887442251154976,0.29609407811843763,0.24359512809743805
13,0.19277614447711044,0.26837463250734983,0.30575388492230154,0.23309533809323812
14,0.1860562788744225,0.2738345233095338,0.29693406131877365,0.24317513649727004
15,0.19403611927761444,0.27131457370852585,0.2973540529189416,0.2372952540949181
16,0.1999160016799664,0.2599748005039899,0.31037379252414954,0.22973540529189415
17,0.1881562368752625,0.2603947921041579,0.3095338093238135,0.24191516169676605
18,0.18857622847543049,0.2662746745065099,0.3107937841243175,0.23393532129357414
19,0.19193616127677446,0.2637547249055019,0.30533389332213356,0.23855522889542208
20,0.20201595968080638,0.2599748005039899,0.30407391852162957,0.23393532129357414
21,0.1873162536749265,0.2620747585048299,0.3120537589248215,0.23855522889542208
22,0.19781604367912642,0.252414951700966,0.31751364972700546,0.23225535489290214
23,0.19529609407811843,0.2633347333053339,0.3120537589248215,0.22931541369172617
24,0.19571608567828644,0.2729945401091978,0.3028139437211256,0.22847543049139019
25,0.21167576648467032,0.250734985300294,0.29609407811843763,0.24149517009659807
26,0.19151616967660648,0.26543469130617386,0.3107937841243175,0.23225535489290214
27,0.20285594288114236,0.26669466610667786,0.29819403611927764,0.23225535489290214
28,0.2120957580848383,0.2574548509029819,0.30533389332213356,0.2251154976900462
29,0.20663586728265435,0.249895002099958,0.3023939521209576,0.24107517849643006
30,0.2112557748845023,0.25577488450230995,0.31751364972700546,0.21545569088618227
31,0.20663586728265435,0.25619487610247793,0.3124737505249895,0.2246955060898782
32,0.21419571608567828,0.2658546829063419,0.28979420411591766,0.23015539689206216
33,0.19403611927761444,0.25451490970180596,0.3250734985300294,0.22637547249055018
34,0.21293574128517428,0.25661486770264597,0.30701385972280554,0.2234355312893742
35,0.2112557748845023,0.24233515329693406,0.3120537589248215,0.23435531289374212
36,0.20327593448131037,0.25367492650146994,0.3049139017219656,0.2381352372952541
37,0.20747585048299033,0.25661486770264597,0.3133137337253255,0.22217555648887022
38,0.22007559848803024,0.252414951700966,0.3028139437211256,0.2246955060898782
39,0.20663586728265435,0.2624947501049979,0.2994540109197816,0.23057538849223017
